sample_idx,atom_idx,element,mace_H,mace_OH,mace_CH3,mace_NH2,mace_H_norm,mace_OH_norm,mace_CH3_norm,mace_NH2_norm
0,1,Ag,-2.359604,-9.121925,-19.16462,-14.505264,2.0933723,0.42080835,1.7935412,1.3413453
0,3,Ag,-2.3598175,-9.121185,-19.161194,-14.504227,2.092893,0.42130694,1.8024026,1.3424919
1,4,Ag,-2.35997,-9.123184,-19.160194,-14.505028,2.0925503,0.41996026,1.804988,1.3416067
1,3,Ag,-2.3600159,-9.123032,-19.166618,-14.506889,2.0924475,0.42006305,1.7883704,1.3395497
1,2,Ag,-2.3600235,-9.123032,-19.165215,-14.505829,2.0924306,0.42006305,1.7920018,1.3407215
2,1,Ag,-2.359436,-9.1222,-19.163048,-14.503975,2.093749,0.4206233,1.7976068,1.3427701
2,3,Ag,-2.3594666,-9.121727,-19.164253,-14.504036,2.0936806,0.42094198,1.7944885,1.3427026
2,2,Ag,-2.359459,-9.121727,-19.162773,-14.506233,2.0936978,0.42094198,1.7983173,1.3402747
3,1,Ag,-2.346199,-9.135475,-19.159096,-14.507172,2.1234615,0.41167977,1.8078301,1.3392378
4,1,Ag,-2.4926147,-9.066132,-18.994751,-14.441467,1.7948107,0.4583969,2.2329626,1.4118402
5,5,Ti,-3.5681458,-12.554108,-20.005829,-17.141846,-0.6193707,-1.891472,-0.3825276,-1.5720427
6,3,Au,-2.6471863,-8.457603,-19.457,-14.41391,1.4478531,0.8683657,1.0371995,1.4422908
6,1,Au,-2.646637,-8.458,-19.46347,-14.41198,1.4490861,0.86809844,1.0204633,1.4444237
7,2,Au,-2.6271133,-8.452026,-19.459152,-14.404221,1.4929096,0.87212306,1.031634,1.4529973
7,3,Au,-2.6271133,-8.452026,-19.461548,-14.406212,1.4929096,0.87212306,1.0254368,1.450797
7,4,Au,-2.6265259,-8.451691,-19.453568,-14.4105835,1.4942282,0.8723492,1.0460806,1.4459664
8,1,Au,-2.6244812,-8.450012,-19.45819,-14.403725,1.4988178,0.87347996,1.0341207,1.4535453
